Predictor,Coefficient,p_value
const,-6.521122131156964,0.11780824438090232
Hand_Width,0.39026846686803285,0.03654710377310911
Standing_Vertical_Leap,0.0459547223893604,0.25607336589435237
Lane_Agility_Time,0.29068294333201267,0.32804794212559246
Wingspan_in,-0.08409689341269307,0.03214673312624202
Weight_lbs,0.021677893691154873,0.0026447776395882626
