Model,Minute_Restriction,n,R_squared,Adjusted_R_squared,AIC,RMSE
Unrestricted final no-shuttle model,MP > 0,108,0.18161894149762348,0.1415022229435854,390.97444365020556,1.398741326863122
Restricted final no-shuttle model,MP >= 100,89,0.23294231666457033,0.18673402248773718,246.77336921299425,0.9048491622032169
